Glomeruli,Source_type,Source,Search_terms,FAFB14_check,Notes
VP5,RN,gsheet,HRN_VP5,Yes,
VP4,PN - RN,gsheet,VP4 vPN - HRN_VP4,Yes,
VP3,PN - RN,gsheet,VP3 vPN VP3 lPN - TRN_VP3,Yes,
VP2,PN - RN,gsheet,VP2 adPN VP2 lPN - TRN_VP2,Yes,
VP1m,PN - RN,gsheet,VP1m lPN - TRN_VP1m,Yes,
VP1l,PN - RN,gsheet,VP1l lvPN - HRN_VP1l,Yes,
VP1d,PN - RN,gsheet,VP1d + ilvPN HRN_VP1d,Yes,
VM7v,RN,gsheet,ORN_VM7v,Yes,RN>PN
VM7d,RN,gsheet,ORN_VM7d,Yes,RN>PN
VM5v,PN — RN,gsheet,VM5v adPN — POSS ORN_VM5v,Yes,
VM5d,PN — RN,gsheet,VM5d adPN — POSS ORN_VM5d,Yes,
VM4,PN — RN,gsheet,VM4 adPN  — VM4 lvPN,Yes,
VM3,PN — RN,gsheet,VM3 adPN,Yes,
VM2,PN — RN,gsheet,VM2 adPN — POSS ORN_VM2,Yes,
VM1,PN — RN,gsheet,ORN_VM1 — VM1 lPN,Yes,
VL2p,PN — RN,gsheet,VL2p adPN — VL2p vPN,Yes,
VL2a,PN — RN,gsheet,VL2a adPN — VL2a vPN,Yes,
D,PN — RN,neuprint — gsheet,D adPN - ORN_D,Yes,
DA1,PN — RN,neuprint — gsheet,instance = ‘*DA1*’ — ORN_DA1,Yes, 
DA2,PN — RN,neuprint — gsheet,DA2 - ORN_DA2,Yes, 
DA3,PN — RN,neuprint — gsheet,DA3 - ORN_DA3,Yes, 
DA4l,PN — RN,neuprint — gsheet,DA4l - ORN_DA4l,Yes, 
DA4m,PN — RN,neuprint — gsheet,DA4m - ORN_DA4m,Yes, 
DC1,PN — RN,gsheet,DC1 adPN - ORN_DC1,Yes,
DC2,PN — RN,gsheet,DC2 adPN - ORN_DC2,Yes,
DC3,PN — RN,gsheet,DC3 adPN - ORN_DC3,Yes,
DC4,PN — RN,gsheet,DC4 adPN DC4 vPN - ORN_DC4,Yes,poss_too_big 
DL1,PN — RN,gsheet,DL1 adPN - ORN_DL1,Yes,
DL2d,PN — RN,gsheet,DL2d - ORN_DL2d,Yes,
DL2v,PN — RN,gsheet,DL2v - ORN_DL2v,Yes,
DL3,PN — RN,gsheet,DL3 lPN - ORN_DL3,Yes,
DL4,PN — RN,gsheet,DL4 adPN - ORN_DL4,Yes,poss_too_big
DL5,PN — RN,gsheet,DL5 adPN - ORN_DL5,Yes,
DM1,PN — RN,gsheet,DM1 lPN - ORN_DM1,Yes,
DM2,PN — RN,gsheet,DM2 lPN - ORN_DM2,Yes,
DM3,PN — RN,gsheet,DM3 adPN DM3 vPN - ORN_DM3,Yes,
DM4,PN — RN,neuprint — gsheet,DM4 - ORN_DM4,Yes,
DM5,PN — RN,neuprint — gsheet,DM5 - ORN_DM4,Yes,
DM6,PN — RN,neuprint — gsheet,DM6 - ORN_DM6,Yes,
DP1l,PN — RN,neuprint — gsheet,DP1l - ORN_DP1l,Yes,
DP1m,PN — RN,neuprint — gsheet,DP1m - ORN_DP1m,Yes,
V,PN — RN,gsheet,V ilPN V lPN - ORN_V,Yes,
VA1d,PN — RN,neuprint — gsheet,VA1d - ORN_VA1d,Yes,
VA1v,PN — RN,neuprint — gsheet,VA1v - ORN_VA1v,Yes,poss_too_small
VA2,PN — RN,neuprint — gsheet,VA2 - POSS ORN_VA2,Yes,
VA3,PN — RN,neuprint — gsheet,VA3 - ORN_VA3,Yes,
VA4,PN — RN,neuprint — gsheet,VA4 - ORN_VA4,Yes,
VA5,PN — RN,neuprint — gsheet,VA5 - POSS ORN_VA5,Yes,
VA6,PN — RN,neuprint — gsheet,VA6 - ORN_VA6,Yes,
VA7l,PN — RN,neuprint — gsheet,VA7l - ORN_VA7L,Yes, 
VA7m,PN — RN,neuprint — gsheet,VA7m - ORN_VA7m,Yes,
VC1,PN — RN,neuprint — gsheet,VC1 - ORN_VC1,Yes,
VC2,PN — RN,neuprint — gsheet,VC2 - ORN_VC2,Yes,
VC3l,PN — RN,neuprint — gsheet,VC3l - ORN_VC3l,Yes,
VC3m,PN — RN,neuprint — gsheet,VC3m - ORN_VC3m,Yes,
VC4,PN — RN,neuprint — gsheet,VC4 - POSS ORN_VC4,Yes,poss_too_big
VC5,PN — RN,neuprint — gsheet,VC5 - ORN_VC5,Yes,
VL1,PN — RN,gsheet,VL1 ilPN VL1 vPN - ORN_VL1,Yes,
,,,,,
