"","glomerulus","uPN_n","RN","laterality","expected_cit","expected_RN_female_1h","expected_RN_female_SD","missing","RN_frag","rn.vol.um","fafb.vol.um","n_ipsilateral","n_no_soma","n_contralateral","frag_FALSE","frag_TRUE","conf_FALSE","conf_TRUE","confnofrag_TRUE","confnofrag_FALSE","observed_RN_female_1h_nofrag","RN_diff_nofrag_1h","observed_RN_female_confnofrag_pct"
"1","D",3,"Or69aA/B","bilateral","Grabe2016",24,6.1,"<25%","yes",4540.2,5483.7,1,37,0,33,5,3,35,33,0,16.5,7.5,100
"2","DA1",8,"Or67d","bilateral","Grabe2016",62.5,10.8,"0","no",7622.6,10337.5,61,8,74,142,1,3,140,140,2,71,-8.5,98.6
"3","DA2",5,"Or56a","bilateral","Grabe2016",24,1.9,"<25%","yes",2060,3764.5,0,35,0,23,12,11,24,23,0,11.5,12.5,100
"4","DA3",2,"Or23a","bilateral","Grabe2016",15,0,"<25%","yes",1213.3,1978.4,3,33,0,15,21,21,15,15,0,7.5,7.5,100
"5","DA4l",1,"s","bilateral","Grabe2016",27,3,">25%","yes",865.5,3471,0,15,0,0,15,9,6,0,0,0,27,NA
"6","DA4m",1,"Or2a","bilateral","Grabe2016",27,0,">25%","yes",954.8,2675.2,0,11,1,7,5,5,7,7,0,3.5,23.5,100
"7","DC1",1,"Or19a","bilateral","Grabe2016",27,0,"0","no",4654.2,5236.8,19,4,15,37,1,2,36,35,2,18.5,8.5,94.6
"8","DC2",2,"Or13a","bilateral","Grabe2016",15,2.5,"0","no",4569.6,4057,13,0,14,27,0,1,26,26,1,13.5,1.5,96.3
"9","DC3",3,"Or83c","bilateral","Grabe2016",15,2.9,"0","yes",4056,5641.8,8,36,0,25,19,1,43,25,0,12.5,2.5,100
"10","DC4",3,"Ir64a","bilateral","Grabe2016",15,0,"0","no",5031.6,5619.6,15,0,14,29,0,0,29,29,0,14.5,0.5,100
