bodyId,primary_neurite,type,instance,compartments,pre,post,status,classification,typical_atypical,comment,soma,dendrite,axon,naive_valence,valence,neurotransmitter,included,exclusion_reason
518930199,,MBON35,MBON35(y2)(ADM02)_R,y2,1746,21187,Traced,safe,Atypical,,R,R,R,None,None,None,x,
611089775,,MBON35,MBON35(y2)_L,y2,465,14115,Traced,safe,Atypical,,L,L,L,None,None,None,x,
673509195,,MBON01,MBON01(y5B'2a)(ADM07)_L,y5B'2a,2231,28757,Traced,safe,Typical,,L,L,L & small RHS axon,aver,app,glut,x,
612371421,,MBON01,MBON01(y5B'2a)(ADM07)_R,y5B'2a,2208,32516,Traced,safe,Typical,,R,R,R,aver,app,glut,x,
5813022341,,MBON02,MBON02(B2B'2a)(ADM07)_L,B2B'2a,99,17924,Traced,safe,Typical,,R,B,None,aver,app,glut,x,unsure - no axon
424789697,,MBON02,MBON02(B2B'2a)(ADM07)_R,B2B'2a,1155,19555,Traced,safe,Typical,,R,B,None,aver,app,glut,x,
612738462,,MBON03,MBON03(B'2mp)(ADM07)_L,B'2mp,1374,17488,Traced,safe,Typical,,R,B,R,aver,app,glut,x,
487925037,,MBON03,MBON03(B'2mp)(ADM07)_R,B'2mp,1368,18217,Traced,safe,Typical,,R,B,L,aver,app,glut,,axon is LHS
613079053,,MBON04,MBON04(B'2mp_bilateral)(ADM07)_L,B'2mp_bilateral,1594,16649,Traced,safe,Typical,,R,R,L (maybe R too),aver,app,glut,x,
487925063,,MBON04,MBON04(B'2mp_bilateral)(ADM07)_R,B'2mp_bilateral,1820,15584,Traced,safe,Typical,,R,L,R,aver,app,glut,x,
799586652,,MBON05,MBON05(y4>y1y2)(AVM07)_L,y4>y1y2,1565,27110,Traced,safe,Typical,,L,R,R,aver,app,glut,x,
1386512867,,MBON05,MBON05(y4>y1y2)(AVM07)_R,y4>y1y2,1073,20106,Traced,safe,Typical,,R,L,L,aver,app,glut,x,unsure - maybe only include for KC analysis
422725634,,MBON06,MBON06(B1>a)(AVM07)_L,B1>a,1356,21000,Traced,safe,Typical,,L,R,R,aver,app,glut,x,
5813061512,,MBON06,MBON06(B1>a)(AVM07)_R,B1>a,496,12120,Traced,safe,Typical,,R,L,L,aver,app,glut,,
920470959,,MBON07,MBON07(a1)_L,a,2,13,Traced,safe,Typical,,L,L,L,aver,app,glut,,fragment
1234386037,,MBON07,MBON07(a1)_R,a,512,15490,Traced,safe,Typical,,R,R,R,aver,app,glut,x,
733036127,,MBON07,MBON07(a1)(ADM10)_R,a1,474,15509,Traced,safe,Typical,,R,R,R,aver,app,glut,,
611477605,,MBON07,MBON07(a1)_L,a1,0,32,Traced,safe,Typical,,L,L,L,aver,app,glut,,fragment
1016835041,,MBON09,MBON09(y3B'1)(AVM17)_L,y3B'1,1291,20260,Traced,safe,Typical,,L,B,B,app,aver,gaba,x,
1048215779,,MBON09,MBON09(y3B'1)(AVM17)_L,y3B'1,1448,20234,Traced,safe,Typical,,L,B,B,app,aver,gaba,x,
1078693835,,MBON09,MBON09(y3B'1)(AVM17)_R,y3B'1,1297,23111,Traced,safe,Typical,,R,B,L,app,aver,gaba,x,"maybe only include in KC analysis, not in DS"
