bodyid,pre,post,status,statusLabel,cropped,name,type,cellBodyFiber,voxels,soma,total.outputs,total.inputs,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.outputs.density,total.inputs.density,axon.outputs.density,dend.outputs.density,axon.inputs.density,dend.inputs.density,total.length,axon.length,dend.length,pd.length,segregation_index,overlap_locality
202916528,95,422,Traced,Roughly traced,FALSE,FQ12_b_C4_R,FQ12_b,PDM03,235510665,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1112.361752,266.6820703,597.8834589,115.2070407,0.760905586,NA
1279775082,24,140,Traced,Roughly traced,FALSE,FQ12_a(AB)_C1_R,FQ12_a,PDM04,123003453,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,665.5843536,142.4987278,215.3377132,131.9537477,0.590056234,NA
203253072,62,352,Traced,Roughly traced,FALSE,FQ12_a_C3_R,FQ12_a,PDM03,153162662,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,872.0359171,153.1919518,398.8624174,185.390775,0.452793995,NA
326530038,383,3030,Traced,Roughly traced,FALSE,PDM22c_pct(PDM22)_R,PDM22c_pct,iPB7,1683764851,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5862.584767,2405.826341,3137.630436,181.9759914,0.084045213,NA
203253253,402,2675,Traced,Roughly traced,FALSE,(PDM09)_L,NA,NA,1735663327,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5446.304041,2032.027462,3135.417423,141.6914721,0.197539076,0.310493574
5813079341,37,260,Traced,Roughly traced,FALSE,FQ12_a_C7_R,FQ12_a,PDM01,157723613,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,858.6867925,199.9989062,380.2688002,117.9344304,0.612015773,1.02E-10
1104824699,58,276,Traced,Roughly traced,FALSE,FQ12_a_C1_R,FQ12_a,PDM04,187215696,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,890.2831842,178.6702745,340.9373275,195.524165,0.462367136,NA
1230328538,74,251,Traced,Roughly traced,FALSE,FQ12_a(AB)_C1_R,FQ12_a,PDM04,187117434,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,861.9592666,197.0542923,335.5739159,174.275363,0.415375761,NA
1011076931,50,273,Traced,Roughly traced,FALSE,FQ12_a_C3_R,FQ12_a,PDM03,139839296,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,804.6290256,168.1004167,307.0839419,184.7815011,0.578594158,NA
1136545839,73,416,Traced,Roughly traced,FALSE,FQ12_a_C1_R,FQ12_a,PDM04,208102758,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1038.576066,171.0594356,545.0820391,168.956128,0.364354065,NA
5813002500,304,476,Traced,Roughly traced,FALSE,FB01D_L,FB1D,NA,576884528,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1361.163502,749.7555279,442.9820432,155.7600185,0.138974243,NA
203594175,57,331,Traced,Roughly traced,FALSE,FQ12_a_C4_R,FQ12_a,PDM03,154965746,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,873.0097023,188.6072423,368.9065596,159.9937622,0.520226114,NA
203931040,37,302,Traced,Roughly traced,FALSE,FQ12_a_C3_R,FQ12_a,PDM03,143153511,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,923.248151,136.8129854,452.2158169,200.2245018,0.526280064,NA
266200011,122,243,Traced,Roughly traced,FALSE,PDL05p_pct(PDL05)_R,PDL05p_pct,SFS1,567557790,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1271.692288,581.5558141,478.1178606,55.58054637,0.010331601,NA
948342190,291,471,Traced,Roughly traced,FALSE,FB08b_L,FB8A,NA,468833197,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1540.471078,956.3542954,380.1771897,196.217973,0.123261061,NA
1168387674,265,888,Traced,Roughly traced,FALSE,FB01b_L,FB1B,NA,413953072,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1872.307231,928.6619436,907.3549795,31.26802085,0.252013705,NA
