bodyid,position,point,X,Y,Z
5813067334,1311,root,6897.49,20763.8,4780.81
5813067334,1264,primary.branch.point,11066.2,17559.9,6124.22
5813067334,NA,axon.primary,NA,NA,NA
5813067334,NA,dendrite.primary,NA,NA,NA
5813067334,NA,axon.start,NA,NA,NA
5813067334,NA,dendrite.start,NA,NA,NA
296479813,1566,root,13930,18606,5174
296479813,936,primary.branch.point,11391.4,20161.9,6792.11
296479813,NA,axon.primary,NA,NA,NA
296479813,NA,dendrite.primary,NA,NA,NA
296479813,NA,axon.start,NA,NA,NA
296479813,NA,dendrite.start,NA,NA,NA
5813067721,3722,root,32328,27534,6416
5813067721,82,primary.branch.point,33706.7,27911.3,6469.33
5813067721,NA,axon.primary,NA,NA,NA
5813067721,NA,dendrite.primary,NA,NA,NA
5813067721,NA,axon.start,NA,NA,NA
5813067721,NA,dendrite.start,NA,NA,NA
5813014245,5075,root,22892,25015.4,4027.72
5813014245,202,primary.branch.point,25098.9,24563.2,9751.03
5813014245,NA,axon.primary,NA,NA,NA
5813014245,203,dendrite.primary,25115.5,24608.4,9870.87
5813014245,NA,axon.start,NA,NA,NA
5813014245,201,dendrite.start1,25078.2,24490.6,9670.32
5813014245,203,dendrite.start2,25115.5,24608.4,9870.87
5813014245,5076,dendrite.start3,22892,25013.7,4014.04
5813014245,5267,dendrite.start4,22460,25186,3842
5813014245,5269,dendrite.start5,23270.7,25239.3,3900.67
5813014245,5272,dendrite.start6,22620,24738,4002
5813014245,5273,dendrite.start7,23196,24706,3970
5813014245,5275,dendrite.start8,22476,24914,3922
5813014245,5284,dendrite.start9,22876,25506,4066
5813014245,5287,dendrite.start10,23308,25234,4002
5813014245,5289,dendrite.start11,23260,24754,4082
5813014245,5290,dendrite.start12,23116,24722,3922
5813014245,5293,dendrite.start13,23340,24898,4146
5813014245,5294,dendrite.start14,22412,24962,4114
5813014245,5296,dendrite.start15,22555.3,25148.1,4186.85
5813014245,5310,dendrite.start16,23356,24978,4018
5813014245,5314,dendrite.start17,23324,25266,4162
5813014245,5315,dendrite.start18,23287,25079.5,3929.72
5813014245,5323,dendrite.start19,22944.5,24767.5,4152.69
5813014245,5348,dendrite.start20,23340,25026,4210
5813014245,5350,dendrite.start21,23094.4,24637.3,4241.55
5813014245,5361,dendrite.start22,23324,24850,4274
5813014245,5371,dendrite.start23,23356,25122,4338
5813014245,5375,dendrite.start24,22910.3,25067.1,4349.43
5813014245,5392,dendrite.start25,22694,25452.4,4445.67
5813014245,5397,dendrite.start26,22764,25442,4370
5813014245,5407,dendrite.start27,22933.8,24617.3,4306
5813014245,5410,dendrite.start28,22988,25442,4594
5813014245,5412,dendrite.start29,22908,25442,4514
5813014245,5414,dendrite.start30,22762.3,25290,4512.53
5813014245,5501,dendrite.start31,22540,25330,4354
5813014245,5504,dendrite.start32,23139.3,25264.4,4551
5813014245,5548,dendrite.start33,22412,25026,4194
5813014245,5552,dendrite.start34,23196,24994,4498
5813014245,5553,dendrite.start35,22789.1,25201.5,4635.21
5813014245,5619,dendrite.start36,22476,25202,4322
5813014245,5620,dendrite.start37,22852.9,25117.6,4920.22
5813014245,5632,dendrite.start38,22691.9,24706.5,4179.07
5813014245,5636,dendrite.start39,23196,24994,4626
5813014245,5666,dendrite.start40,22558.8,24804.3,4230.16
5813014245,5672,dendrite.start41,23036,24834,4722
5813014245,5676,dendrite.start42,22396,24994,4370
5813014245,5677,dendrite.start43,22412,24946,4242
5813014245,5682,dendrite.start44,22613,25144.4,4070.81
5813014245,5698,dendrite.start45,22622.6,24742,4318.97
5813014245,5705,dendrite.start46,22364,24834,4306
5813014245,5706,dendrite.start47,22716,24562,4354
5813014245,5707,dendrite.start48,22882.7,24560.8,4494.8
5813014245,5712,dendrite.start49,22652,24578,4674
5813014245,5713,dendrite.start50,22812,24674,4738
5813014245,5799,dendrite.start51,22860,24626,4866
5813014245,5805,dendrite.start52,23020,24562,4754
