offset,pre_x,pre_y,pre_z,post_x,post_y,post_z,scores,cleft_scores,segmentid_pre,segmentid_post,pre_svid,post_svid,pre_id,post_id,x,y,z,partner,Tags,flywire.id
109458,575592,199876,74400,575680,199856,74400,369.604156494141,130,2792324193,3441685960,"=""80504798478550994""","=""80504798478560410""","=""720575940616852894""","=""720575940616046363""",575592,199876,74400,"=""720575940616852894""",FALSE,"="""""
115317,579784,200020,74040,579836,200108,74080,326.681762695312,149,2790402780,3311176819,"=""80575167222713264""","=""80575167222706446""","=""720575940624804248""","=""720575940616046363""",579784,200020,74040,"=""720575940624804248""",FALSE,"="""""
115365,578636,200540,74200,578552,200468,74200,674.467041015625,136,2922193536,3311176819,"=""80575167222710565""","=""80575167222709217""","=""720575940612337575""","=""720575940616046363""",578636,200540,74200,"=""720575940612337575""",FALSE,"="""""
115442,577112,200252,74600,577076,200376,74600,497.51220703125,148,2659892065,3311818327,"=""80575167222703708""","=""80575167222739722""","=""720575940610903062""","=""720575940616046363""",577112,200252,74600,"=""720575940610903062""",FALSE,"="""""
125981,581228,199868,73960,581192,199920,74000,141.257019042969,129,0,3311176819,"=""80645535966856742""","=""80645535966862223""","=""720575940613725708""","=""720575940616046363""",581228,199868,73960,"=""720575940613725708""",FALSE,"="""""
126869,585628,200796,74880,585588,200868,74960,73.4340209960938,144,2660530240,3311176819,"=""80715904711078516""","=""80715904711087208""","=""720575940618976297""","=""720575940616046363""",585628,200796,74880,"=""720575940618976297""",FALSE,"="""""
126873,585604,200800,75000,585664,200856,75040,175.36213684082,70,2660530240,3311176819,"=""80715904711078516""","=""80715904711087208""","=""720575940618976297""","=""720575940616046363""",585604,200800,75000,"=""720575940618976297""",FALSE,"="""""
126878,585144,200540,75040,585144,200648,75040,12.4208364486694,106,0,3311176819,"=""80645535966899197""","=""80645535966896191""","=""720575940618976297""","=""720575940616046363""",585144,200540,75040,"=""720575940618976297""",FALSE,"="""""
136191,578408,204268,74520,578324,204164,74520,667.639221191406,148,2527458123,3311818327,"=""80575235942179949""","=""80575235942193761""","=""720575940628113292""","=""720575940616046363""",578408,204268,74520,"=""720575940628113292""",FALSE,"="""""
636996,576700,201208,75440,576600,201188,75440,562.874694824219,144,2528097786,3311818327,"=""80504798478589746""","=""80504798478569793""","=""720575940628115084""","=""720575940616046363""",576700,201208,75440,"=""720575940628115084""",FALSE,"="""""
